country,unchanged,more_certain,more_doubtful,ratio
US,49,37,14,2.7
Canada,46,41,12,3.4
Brazil,17,63,20,3.2
Spain,53,36,11,3.3
France,53,29,18,1.6
Britain,60,27,13,2.0
Germany,59,31,10,3.0
Italy,44,46,12,3.8
China,23,61,16,3.8
Japan,48,30,22,1.3
Australia,49,37,14,2.6
